Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,ARI,11,14,161,3,0,2,13,49,154.2,1,-1,0,-1,0,0,0,0,0,0,0
Drew Stanton\StanDr00,ARI,1,4,10,0,0,0,0,10,39.6,3,-3,0,-1,0,0,0,0,0,0,0
Chris Johnson\JohnCh04,ARI,0,0,0,0,0,0,0,0,,11,103,0,40,0,0,0,0,0,0,0
Andre Ellington\ElliAn00,ARI,0,0,0,0,0,0,0,0,,3,63,1,63,0,0,0,0,0,0,0
Stepfan Taylor\TaylSt00,ARI,0,0,0,0,0,0,0,0,,4,19,0,16,1,0,0,0,0,0,0
David Johnson\JohnDa08,ARI,0,0,0,0,0,0,0,0,,3,6,2,4,0,0,0,0,0,0,0
John Brown\BrowJo02,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,73,1,49,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,58,1,26,0,0
Darren Fells\FellDa01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,1,14,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0
Jermaine Gresham\GresJe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dan Orlovsky\OrloDa00,DET,21,38,191,1,1,0,0,23,66.9,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford\StafMa00,DET,20,32,188,1,3,1,0,48,50.0,1,2,0,2,0,0,0,0,0,0,0
Zach Zenner\ZennZa00,DET,0,0,0,0,0,0,0,0,,10,30,0,12,2,1,7,0,7,0,0
Ameer Abdullah\AbduAm00,DET,0,0,0,0,0,0,0,0,,6,16,0,5,2,1,9,0,9,2,1
Golden Tate\TateGo00,DET,0,0,0,0,0,0,0,0,,1,8,0,8,18,8,74,0,21,1,1
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,67,0,23,0,0
Corey Fuller\FullCo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,56,0,48,0,0
Lance Moore\MoorLa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,55,1,22,0,0
Theo Riddick\RiddTh00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,53,1,20,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,29,0,13,0,0
Tim Wright\WrigTi01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,12,0,8,0,0
T.J. Jones\JoneT.00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Michael Burton\BurtMi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
