Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Peyton Manning\MannPe00,DEN,22,35,266,0,2,2,12,45,62.3,0,0,0,0,0,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,11,22,0,10,2,2,18,0,10,0,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,7,21,0,6,2,1,5,0,5,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,111,0,45,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,55,0,17,0,0
Bennie Fowler\FowlBe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,46,0,41,0,0
Juwan Thompson\ThomJu01,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Jordan Norwood\NorwJo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,11,0,0
Owen Daniels\DaniOw00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
Derek Carr\CarrDe02,OAK,26,39,249,1,1,4,26,33,82.1,1,-1,0,-1,0,0,0,0,0,1,1
Latavius Murray\MurrLa00,OAK,0,0,0,0,0,,0,0,,13,39,0,11,4,3,18,0,14,0,0
Jamize Olawale\OlawJa00,OAK,0,0,0,0,0,,0,0,,6,13,0,5,0,0,0,0,0,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,1,6,0,6,8,7,49,1,13,0,0
Roy Helu\HeluRo00,OAK,0,0,0,0,0,,0,0,,3,6,0,4,6,3,12,0,9,0,0
Amari Cooper\CoopAm00,OAK,0,0,0,0,0,,0,0,,1,2,0,2,4,4,47,0,21,0,0
Michael Crabtree\CrabMi00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,9,4,54,0,25,0,0
Clive Walford\WalfCl00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,33,0,33,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,3,33,0,19,1,0
Donald Penn\PennDo20,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,3,0,3,0,0
Seth Roberts\RobeSe00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
