Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,20,27,275,2,0,5,28,59,130.9,2,3,1,2,0,0,0,0,0,1,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,13,74,0,34,0,0,0,0,0,0,0
Dion Lewis\LewiDi00,NWE,0,0,0,0,0,0,0,0,,6,34,0,13,11,8,59,1,14,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,120,1,59,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,67,0,33,0,0
Keshawn Martin\MartKe01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,23,0,16,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,6,0,4,0,0
Matt Slater\SlatMa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jimmy Garoppolo\GaroJi00,NWE,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0
Brandon Weeden\WeedBr00,DAL,26,39,187,0,1,3,24,21,66.9,3,18,0,11,0,0,0,0,0,0,0
Joseph Randle\RandJo01,DAL,0,0,0,0,0,0,0,0,,15,62,0,14,4,4,12,0,10,0,0
Darren McFadden\McFaDa00,DAL,0,0,0,0,0,0,0,0,,5,16,0,7,10,9,62,0,12,0,0
Christine Michael\MichCh00,DAL,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,40,0,21,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,33,0,16,1,1
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,30,0,17,0,0
Devin Street\StreDe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Gavin Escobar\EscoGa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Vince Mayle\MaylVi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Lucky Whitehead\WhitLu00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-3,0,-3,0,0
