Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,26,45,252,2,0,2,11,33,88.4,4,15,0,7,0,0,0,0,0,2,1
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,18,71,0,10,7,5,38,1,18,0,0
Jacquizz Rodgers\RodgJa00,CHI,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,0
Marquess Wilson\WilsMa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,85,1,33,0,0
Cameron Meredith\MereCa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,52,0,20,0,0
Martellus Bennett\BennMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,32,0,11,0,0
Josh Bellamy\BellJo02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,31,0,8,0,0
Khari Lee\LeexKh00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Zach Miller\MillZa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marc Mariani\MariMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Jeremy Langford\LangJe00,CHI,0,0,0,0,0,0,0,0,,2,-2,0,0,2,1,14,0,14,0,0
Alex Smith\SmitAl03,KAN,16,30,181,1,0,3,11,26,82.8,3,21,0,8,0,0,0,0,0,0,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,12,58,0,15,3,1,26,0,26,0,0
Charcandrick West\WestCh01,KAN,0,0,0,0,0,0,0,0,,7,31,0,9,2,1,5,0,5,0,0
De'Anthony Thomas\ThomDe05,KAN,0,0,0,0,0,0,0,0,,1,5,0,5,4,2,24,1,19,0,0
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,2,2,0,4,0,0,0,0,0,0,0
Jeremy Maclin\MaclJe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,85,0,23,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,0,16,0,0
Chris Conley\ConlCh00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0
