Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,26,43,335,2,1,5,43,59,90.7,1,-1,0,-1,0,0,0,0,0,2,2
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,12,57,0,17,3,2,17,0,13,0,0
Khiry Robinson\RobiKh00,NOR,0,0,0,0,0,0,0,0,,5,30,0,12,2,2,2,0,1,0,0
C.J. Spiller\SpilC.00,NOR,0,0,0,0,0,0,0,0,,3,10,0,8,4,3,-8,0,0,0,0
Willie Snead\SneaWi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,141,0,59,0,0
Brandin Cooks\CookBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,107,1,46,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,36,1,21,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,36,0,17,0,0
Michael Hoomanawanui\HoomMi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,7,1,1
Josh Hill\HillJo02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brandon Coleman\ColeBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sam Bradford\BradSa00,PHI,32,45,333,2,2,0,0,41,88.5,1,3,0,3,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,PHI,0,0,0,0,0,0,0,0,,20,83,1,24,8,7,37,0,13,0,0
Ryan Mathews\MathRy00,PHI,0,0,0,0,0,0,0,0,,8,73,1,33,3,3,23,0,13,0,0
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,5,27,0,14,2,1,10,0,10,0,0
Josh Huff\HuffJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,78,1,41,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,60,0,21,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,44,1,23,0,0
Jordan Matthews\MattJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,44,0,18,0,0
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,32,0,14,0,0
Nelson Agholor\AghoNe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Miles Austin\AustMi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
