Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Ryan\RyanMa00,ATL,30,44,295,2,0,5,32,30,102.0,4,10,0,5,0,0,0,0,0,3,1
Devonta Freeman\FreeDe00,ATL,0,0,0,0,0,0,0,0,,13,100,1,25,10,8,56,1,13,0,0
Tevin Coleman\ColeTe01,ATL,0,0,0,0,0,0,0,0,,4,40,0,18,0,0,0,0,0,1,1
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,93,0,30,0,0
Leonard Hankerson\HankLe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,37,0,12,0,0
Jacob Tamme\TammJa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,20,0,0
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,23,1,8,0,0
Patrick DiMarco\DiMaPa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,12,0,0
Levine Toilolo\ToilLe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,11,0,0
Nick Williams\WillNi02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Terron Ward\WardTe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Drew Brees\BreeDr00,NOR,30,39,312,1,0,1,8,28,108.1,2,2,0,3,0,0,0,0,0,0,0
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,20,46,2,11,3,3,10,0,7,0,0
Khiry Robinson\RobiKh00,NOR,0,0,0,0,0,0,0,0,,7,23,0,10,2,2,24,0,18,0,0
C.J. Spiller\SpilC.00,NOR,0,0,0,0,0,0,0,0,,3,10,0,7,5,4,17,0,8,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,127,1,28,0,0
Willie Snead\SneaWi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,55,0,24,0,0
Brandin Cooks\CookBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,41,0,26,0,0
Josh Hill\HillJo02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,0,19,0,0
Michael Hoomanawanui\HoomMi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brandon Coleman\ColeBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
