Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Brian Hoyer\HoyeBr00,HOU,24,36,293,3,0,1,6,31,119.3,5,5,0,6,0,0,0,0,0,0,0
Arian Foster\FostAr00,HOU,0,0,0,0,0,0,0,0,,18,53,0,16,6,5,59,1,15,1,0
Chris Polk\PolkCh00,HOU,0,0,0,0,0,0,0,0,,8,37,0,12,2,1,2,0,2,0,0
DeAndre Hopkins\HopkDe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,15,10,148,2,29,0,0
Cecil Shorts\ShorCe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,63,0,31,0,0
C.J. Fiedorowicz\FiedC.00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Keith Mumphery\MumpKe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,8,0,5,0,0
Jaelen Strong\StroJa01,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Blake Bortles\BortBl00,JAX,30,53,331,3,3,3,20,29,70.6,4,37,0,12,0,0,0,0,0,1,0
Toby Gerhart\GerhTo00,JAX,0,0,0,0,0,0,0,0,,9,26,0,6,4,3,23,0,8,0,0
Denard Robinson\RobiDe00,JAX,0,0,0,0,0,0,0,0,,7,19,0,4,3,3,19,0,8,0,0
Corey Grant\GranCo00,JAX,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Bryan Walters\WaltBr00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,87,0,29,0,0
Allen Robinson\RobiAl02,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,86,1,25,0,0
Julius Thomas\ThomJu00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,78,1,29,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,30,1,19,0,0
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
