Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,MIA,22,29,266,2,2,2,12,38,97.8,2,14,0,10,0,0,0,0,0,0,0
Lamar Miller\MillLa01,MIA,0,0,0,0,0,0,0,0,,19,113,1,22,3,2,5,0,4,0,0
Jarvis Landry\LandJa00,MIA,0,0,0,0,0,0,0,0,,2,24,1,22,4,3,42,0,19,0,0
Jonas Gray\GrayJo00,MIA,0,0,0,0,0,0,0,0,,7,24,0,7,1,1,12,0,12,0,0
Damien Williams\WillDa05,MIA,0,0,0,0,0,0,0,0,,2,5,0,4,0,0,0,0,0,0,0
Rishard Matthews\MattRi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,85,0,24,0,0
Kenny Stills\StilKe00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,46,0,38,0,0
Dion Sims\SimsDi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,33,1,16,0,0
Jordan Cameron\CameJo00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,30,1,13,0,0
Greg Jennings\JennGr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Marcus Mariota\MariMa01,TEN,21,33,219,1,2,5,37,32,67.6,0,0,0,0,0,0,0,0,0,2,2
Zach Mettenberger\MettZa00,TEN,5,8,63,0,0,1,9,23,87.0,1,4,0,4,0,0,0,0,0,0,0
Dexter McCluster\McClDe00,TEN,0,0,0,0,0,0,0,0,,5,23,0,16,4,3,19,1,14,0,0
Antonio Andrews\AndrAn00,TEN,0,0,0,0,0,0,0,0,,9,23,0,8,1,1,2,0,2,0,0
Bishop Sankey\SankBi00,TEN,0,0,0,0,0,0,0,0,,3,13,0,9,3,1,7,0,7,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,97,0,25,0,0
Dorial Green-Beckham\GreeDo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,57,0,32,0,0
Justin Hunter\HuntJu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,54,0,23,0,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,0,16,0,0
Harry Douglas\DougHa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,11,0,11,0,0
Anthony Fasano\FasaAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,1,0,10,0,0
