Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
EJ Manuel\ManuEJ00,BUF,24,42,298,2,2,4,38,58,75.3,8,38,0,12,0,0,0,0,0,2,1
LeSean McCoy\McCoLe01,BUF,0,0,0,0,0,0,0,0,,18,68,0,17,4,2,36,0,22,1,1
Dan Herron\HerrDa00,BUF,0,0,0,0,0,0,0,0,,2,9,0,5,1,1,3,0,3,0,0
Robert Woods\WoodRo02,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,84,1,16,0,0
Marcus Easley\EaslMa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,58,1,58,0,0
Chris Hogan\HogaCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,56,0,14,0,0
Chris Gragg\GragCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,35,0,29,0,0
Charles Clay\ClayCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,26,0,12,0,0
Blake Bortles\BortBl00,JAX,13,29,182,2,1,2,7,31,74.2,5,-3,0,1,0,0,0,0,0,0,0
T.J. Yeldon\YeldT.00,JAX,0,0,0,0,0,0,0,0,,20,115,1,28,3,1,9,0,9,0,0
Toby Gerhart\GerhTo00,JAX,0,0,0,0,0,0,0,0,,6,8,0,4,0,0,0,0,0,0,0
Allen Robinson\RobiAl02,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,98,1,23,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,53,1,31,0,0
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,9,0,0
Bryan Walters\WaltBr00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Julius Thomas\ThomJu00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,4,0,4,0,0
Nic Jacobs\JacoNi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tyson Alualu\AluaTy99,JAX,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
