Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jameis Winston\WinsJa00,TAM,21,29,297,2,0,1,8,40,128.1,1,5,0,5,0,0,0,0,0,1,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,19,136,0,49,3,3,35,0,14,0,0
Charles Sims\SimsCh00,TAM,0,0,0,0,0,0,0,0,,10,49,0,13,3,2,17,0,9,1,1
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,164,1,40,0,0
Louis Murphy\MurpLo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,29,0,29,0,0
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,22,0,11,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Donteea Dye\DyexDo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,1,7,0,0
Cameron Brate\BratCa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Bobby Rainey\RainBo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Brandon Myers\MyerBr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kirk Cousins\CousKi00,WAS,33,40,317,3,0,1,12,38,124.7,3,15,1,8,0,0,0,0,0,1,1
Matt Jones\JoneMa04,WAS,0,0,0,0,0,0,0,0,,9,29,0,11,4,3,22,0,12,0,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,6,5,0,5,1,1,2,0,2,0,0
Darrel Young\YounDa01,WAS,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Jordan Reed\ReedJo02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,72,2,13,0,0
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,55,0,21,0,0
Ryan Grant\GranRy01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,54,1,32,0,0
Andre Roberts\RobeAn00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,49,0,38,0,0
Jamison Crowder\CrowJa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,48,0,18,0,0
Derek Carrier\CarrDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,9,0,0
