Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,14,22,77,0,0,3,27,17,69.7,2,31,0,17,0,0,0,0,0,1,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,11,38,1,15,2,1,9,0,9,1,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,1,10,0,10,9,6,27,0,17,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,5,9,0,4,2,2,9,0,5,0,0
Alonzo Harris\HarrAl00,GNB,0,0,0,0,0,0,0,0,,2,2,0,2,0,0,0,0,0,0,0
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,0,11,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Justin Perillo\PeriJu00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,1,0
Peyton Manning\MannPe00,DEN,21,29,340,0,1,0,0,47,96.9,0,0,0,0,0,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,14,101,1,28,1,1,5,0,5,0,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,19,60,2,16,2,1,-5,0,-5,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,168,0,47,0,0
Virgil Green\GreeVi00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,61,0,32,0,0
Owen Daniels\DaniOw00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,44,0,18,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,0,24,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,22,0,11,0,0
Bennie Fowler\FowlBe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,15,0,0
Juwan Thompson\ThomJu01,DEN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
