Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Sam Bradford\BradSa00,PHI,25,36,295,1,0,1,8,44,103.4,1,-1,0,-1,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,PHI,0,0,0,0,0,0,0,0,,18,83,1,20,7,6,78,0,44,0,0
Ryan Mathews\MathRy00,PHI,0,0,0,0,0,0,0,0,,11,67,1,21,1,0,0,0,0,0,0
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,5,23,0,8,3,2,3,0,7,0,0
Jordan Matthews\MattJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,133,1,41,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,44,0,27,0,0
Miles Austin\AustMi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,27,0,27,0,0
Josh Huff\HuffJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,10,0,5,0,0
Matt Cassel\CassMa00,DAL,25,38,299,3,1,4,22,51,105.0,2,17,0,11,0,0,0,0,0,2,0
Darren McFadden\McFaDa00,DAL,0,0,0,0,0,0,0,0,,27,117,0,17,2,1,5,0,5,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,112,2,30,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,104,1,51,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,43,0,14,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,27,0,11,0,0
Lucky Whitehead\WhitLu00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
James Hanna\HannJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
