Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Shaun Hill\HillSh00,MIN,18,33,236,0,0,0,0,33,77.3,2,8,0,9,0,0,0,0,0,0,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,19,31,0,9,2,0,0,0,0,0,0
Matt Asiata\AsiaMa00,MIN,0,0,0,0,0,0,0,0,,4,13,0,6,0,0,0,0,0,0,0
Cordarrelle Patterson\PattCo00,MIN,0,0,0,0,0,0,0,0,,1,8,0,8,1,1,6,0,6,0,0
Jerick McKinnon\McKiJe00,MIN,0,0,0,0,0,0,0,0,,1,6,0,6,2,1,3,0,3,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,65,0,21,0,0
Adam Thielen\ThieAd00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,54,0,21,0,0
Charles Johnson\JohnCh08,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,5,0,5,0,0
Stefon Diggs\DiggSt00,MIN,0,0,0,0,0,0,0,0,,1,-1,0,-1,9,7,103,0,33,0,0
Marcus Mariota\MariMa01,TEN,25,41,271,2,1,2,19,29,86.5,4,19,0,10,0,0,0,0,0,1,1
DeMarco Murray\MurrDe00,TEN,0,0,0,0,0,0,0,0,,13,42,0,12,7,5,35,2,14,1,1
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,5,3,0,5,2,2,41,0,29,0,0
Tajae Sharpe\SharTa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,76,0,17,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,42,0,26,0,0
Andre Johnson\JohnAn02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,30,0,16,0,0
Rishard Matthews\MattRi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,26,0,11,0,0
Harry Douglas\DougHa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,21,0,16,0,0
