Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Ryan\RyanMa00,ATL,18,33,267,1,1,2,12,76,78.7,0,0,0,0,0,0,0,0,0,0,0
Devonta Freeman\FreeDe00,ATL,0,0,0,0,0,0,0,0,,12,49,0,17,3,3,32,0,15,0,0
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,16,10,135,0,29,0,0
Taylor Gabriel\GabrTa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,76,1,76,0,0
Mohamed Sanu\SanuMo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,8,0,0
Austin Hooper\HoopAu00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,8,0,8,0,0
Aldrick Robinson\RobiAl00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Terron Ward\WardTe00,ATL,0,0,0,0,0,0,0,0,,1,-1,0,-1,1,0,0,0,0,0,0
Carson Wentz\WentCa00,PHI,25,36,231,0,0,2,10,20,86.7,4,10,0,13,0,0,0,0,0,1,1
Ryan Mathews\MathRy00,PHI,0,0,0,0,0,0,0,0,,19,109,2,21,2,2,30,0,20,0,0
Wendell Smallwood\SmalWe00,PHI,0,0,0,0,0,0,0,0,,13,70,0,19,1,0,0,0,0,0,0
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,2,19,0,11,10,8,57,0,12,0,0
Jordan Matthews\MattJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,73,0,20,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,55,0,18,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,1,0
Nelson Agholor\AghoNe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,7,0,4,0,0
