Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,16,30,182,1,2,4,21,50,55.1,1,7,0,7,0,0,0,0,0,2,1
Jordan Howard\HowaJo00,CHI,0,0,0,0,0,0,0,0,,15,100,0,15,0,0,0,0,0,1,1
Jeremy Langford\LangJe00,CHI,0,0,0,0,0,0,0,0,,2,16,0,13,5,4,10,0,5,0,0
Cameron Meredith\MereCa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,50,1,50,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,47,0,16,0,0
Zach Miller\MillZa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,32,0,12,0,0
Eddie Royal\RoyaEd00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,0,24,0,0
Paul Lasike\LasiPa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Josh Bellamy\BellJo02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Logan Paulsen\PaulLo00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ka'Deem Carey\CareKa00,CHI,0,0,0,0,0,0,0,0,,2,-1,0,1,1,1,16,0,16,0,0
Jameis Winston\WinsJa00,TAM,23,33,312,2,1,4,32,43,107.1,0,0,0,0,0,0,0,0,0,0,0
Peyton Barber\BarbPe01,TAM,0,0,0,0,0,0,0,0,,12,38,0,7,0,0,0,0,0,0,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,16,33,1,10,2,1,13,0,13,0,0
Mike James\JameMi00,TAM,0,0,0,0,0,0,0,0,,2,7,0,8,1,1,5,0,5,0,0
Adam Humphries\HumpAd00,TAM,0,0,0,0,0,0,0,0,,1,2,0,2,8,5,46,0,14,0,0
Cameron Brate\BratCa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,84,1,16,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,66,0,39,0,0
Freddie Martino\MartFr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,43,1,43,0,0
Cecil Shorts\ShorCe00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,38,0,22,0,0
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Brandon Myers\MyerBr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
