Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,31,51,371,2,2,5,46,46,79.8,3,27,1,20,0,0,0,0,0,0,0
Brett Hundley\HundBr00,GNB,1,4,8,0,0,0,0,8,39.6,0,0,0,0,0,0,0,0,0,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,7,33,0,11,4,3,11,1,13,0,0
Ty Montgomery\MontTy01,GNB,0,0,0,0,0,0,0,0,,3,9,0,5,2,2,11,0,8,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,156,0,46,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,18,12,126,1,20,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,31,0,11,0,0
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,27,0,12,0,0
Geronimo Allison\AlliGe01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Jeff Janis\JaniJe00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Trevor Davis\DaviTr03,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,1
Justin Perillo\PeriJu00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marcus Mariota\MariMa01,TEN,19,26,295,4,0,1,13,41,149.8,5,0,0,6,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,TEN,1,1,10,1,0,0,0,10,147.9,17,123,1,75,3,2,33,0,35,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,9,31,0,19,0,0,0,0,0,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,124,1,41,0,0
Tajae Sharpe\SharTa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,68,1,33,0,0
Rishard Matthews\MattRi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,63,1,32,0,0
Anthony Fasano\FasaAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,1,9,0,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,1,6,0,0
