Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,17,30,252,1,1,4,30,35,81.5,1,3,0,3,0,0,0,0,0,1,0
Jordan Howard\HowaJo00,CHI,0,0,0,0,0,0,0,0,,17,77,0,27,8,1,22,0,22,0,0
Jeremy Langford\LangJe00,CHI,0,0,0,0,0,0,0,0,,6,8,1,6,3,3,30,0,14,0,0
Paul Lasike\LasiPa00,CHI,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Zach Miller\MillZa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,61,1,34,0,0
Cameron Meredith\MereCa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,49,0,18,0,0
Marquess Wilson\WilsMa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,35,0,35,0,0
Josh Bellamy\BellJo02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,32,0,23,0,0
Eddie Royal\RoyaEd00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,11,1,0
Deonte Thompson\ThomDe04,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Logan Paulsen\PaulLo00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Eli Manning\MannEl00,NYG,21,36,227,2,0,0,0,48,95.5,4,1,0,4,0,0,0,0,0,0,0
Rashad Jennings\JennRa00,NYG,0,0,0,0,0,0,0,0,,21,85,1,21,6,5,44,0,16,0,0
Paul Perkins\PerkPa00,NYG,0,0,0,0,0,0,0,0,,4,16,0,11,2,2,19,0,13,0,0
Sterling Shepard\ShepSt00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,50,1,15,0,0
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,48,0,48,0,0
Odell Beckham\BeckOd00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,46,0,20,1,0
Will Tye\TyexWi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,12,1,9,0,0
Roger Lewis\LewiRo03,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Jerell Adams\AdamJe01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
