Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andy Dalton\DaltAn00,CIN,26,48,283,1,0,3,22,25,78.7,3,14,0,12,0,0,0,0,0,4,2
Rex Burkhead\BurkRe00,CIN,0,0,0,0,0,0,0,0,,5,29,0,17,2,2,19,0,17,0,0
Jeremy Hill\HillJe01,CIN,0,0,0,0,0,0,0,0,,12,21,0,7,6,6,61,0,24,0,0
Tyler Eifert\EifeTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,68,1,25,0,0
Tyler Boyd\BoydTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,62,0,22,0,0
Brandon LaFell\LaFeBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,38,0,23,0,0
James Wright\WrigJa03,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,23,0,11,0,0
Alex Erickson\EricAl01,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Ryan Hewitt\HewiRy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Cody Core\CoreCo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Joe Flacco\FlacJo00,BAL,25,36,234,1,1,2,15,31,84.7,2,19,0,16,0,0,0,0,0,0,0
Kenneth Dixon\DixoKe00,BAL,0,0,0,0,0,0,0,0,,13,49,0,15,4,4,31,0,16,0,0
Terrance West\WestTe00,BAL,0,0,0,0,0,0,0,0,,13,48,0,16,4,3,16,0,9,0,0
Dennis Pitta\PittDe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,34,0,18,0,0
Kamar Aiken\AikeKa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,30,0,19,0,0
Steve Smith\SmitSt01,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,20,0,8,0,0
Kyle Juszczyk\JuszKy00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,18,0,16,0,0
Darren Waller\WallDa01,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,8,0,0
Breshad Perriman\PerrBr02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,1,14,0,0
Mike Wallace\WallMi00,BAL,0,0,0,0,0,0,0,0,,1,-1,0,-1,4,3,57,0,31,0,0
Sam Koch\KochSa20,BAL,0,0,0,0,0,0,0,0,,1,-23,0,-23,0,0,0,0,0,0,0
