Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,15,27,194,3,0,1,2,41,115.4,2,-2,0,-1,0,0,0,0,0,0,0
Rashad Jennings\JennRa00,NYG,0,0,0,0,0,0,0,0,,15,55,0,11,2,2,4,0,4,0,0
Paul Perkins\PerkPa00,NYG,0,0,0,0,0,0,0,0,,9,29,0,6,2,2,14,0,10,0,0
Sterling Shepard\ShepSt00,NYG,0,0,0,0,0,0,0,0,,1,22,0,22,0,0,0,0,0,0,0
Odell Beckham\BeckOd00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,96,2,41,0,0
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,37,0,37,0,0
Roger Lewis\LewiRo03,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,18,0,18,0,0
Dwayne Harris\HarrDw00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,1,13,0,0
Will Tye\TyexWi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,7,0,0
Josh McCown\McCoJo01,CLE,25,43,322,1,0,7,37,54,89.5,0,0,0,0,0,0,0,0,0,2,2
Duke Johnson\JohnDu00,CLE,0,1,0,0,0,0,0,0,39.6,5,14,0,6,5,3,26,0,12,0,0
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,16,44,0,9,7,6,47,0,13,1,1
Terrelle Pryor\PryoTe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,131,0,54,0,0
Seth Devalve\DevaSe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,39,0,21,0,0
Corey Coleman\ColeCo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,38,1,21,0,0
Rashard Higgins\HiggRa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,0,19,0,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Andrew Hawkins\HawkAn00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Dan Vitale\VitaDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-4,0,-4,0,0
