Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Russell Wilson\WilsRu00,SEA,17,33,151,0,2,6,33,21,38.8,8,80,0,17,0,0,0,0,0,1,0
Thomas Rawls\RawlTh00,SEA,0,0,0,0,0,0,0,0,,12,38,0,8,1,0,0,0,0,0,0
Tyler Lockett\LockTy00,SEA,0,0,0,0,0,0,0,0,,1,9,0,9,6,0,0,0,0,0,0
Jimmy Graham\GrahJi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,67,0,21,1,1
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,34,0,12,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,18,0,18,0,0
Paul Richardson\RichPa01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0
Luke Willson\WillLu00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
George Farmer\FarmGe02,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Will Tukuafu\TukuWi00,SEA,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Jameis Winston\WinsJa00,TAM,21,28,220,2,1,0,0,27,106.3,5,12,0,8,0,0,0,0,0,0,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,23,87,0,11,2,2,3,0,5,1,1
Peyton Barber\BarbPe01,TAM,0,0,0,0,0,0,0,0,,5,16,0,7,1,1,4,0,4,0,0
Adam Humphries\HumpAd00,TAM,0,0,0,0,0,0,0,0,,2,3,0,8,1,1,18,0,18,1,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,104,2,26,0,0
Cameron Brate\BratCa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,49,0,27,0,0
Russell Shepard\ShepRu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,0,18,0,0
Alan Cross\CrosAl00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Cecil Shorts\ShorCe00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
