Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tyrod Taylor\TaylTy00,BUF,18,35,191,0,1,4,21,22,55.8,3,30,1,12,0,0,0,0,0,1,1
LeSean McCoy\McCoLe01,BUF,0,0,0,0,0,0,0,0,,17,130,0,54,7,7,61,0,16,0,0
Mike Gillislee\GillMi00,BUF,0,0,0,0,0,0,0,0,,8,49,2,29,0,0,0,0,0,0,0
Reggie Bush\BushRe00,BUF,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Sammy Watkins\WatkSa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,38,0,16,0,0
Marquise Goodwin\GoodMa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,35,0,12,0,0
Justin Hunter\HuntJu00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,22,0,22,0,0
Gerald Christian\ChriGe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Brandon Tate\TateBr00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Nick O'Leary\OLeaNi00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,8,0,8,0,0
Jerome Felton\FeltJe00,BUF,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Dezmin Lewis\LewiDe02,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Derek Carr\CarrDe02,OAK,19,35,260,2,0,0,0,37,97.3,2,4,0,3,0,0,0,0,0,0,0
Latavius Murray\MurrLa00,OAK,0,0,0,0,0,,0,0,,20,82,2,22,5,3,23,0,10,0,0
Jalen Richard\RichJa01,OAK,0,0,0,0,0,,0,0,,9,53,0,21,0,0,0,0,0,0,0
Michael Crabtree\CrabMi00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,11,7,74,1,19,0,0
Amari Cooper\CoopAm00,OAK,0,0,0,0,0,,0,0,,1,0,0,0,4,2,59,1,37,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,5,3,57,0,26,0,0
Clive Walford\WalfCl00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,1,18,0,18,0,0
Seth Roberts\RobeSe00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,5,2,18,0,14,0,0
Taiwan Jones\JoneTa00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,11,0,11,0,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
