Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,24,39,195,2,2,2,17,25,69.9,1,-1,0,-1,0,0,0,0,0,0,0
Paul Perkins\PerkPa00,NYG,0,0,0,0,0,0,0,0,,7,38,0,18,0,0,0,0,0,0,0
Rashad Jennings\JennRa00,NYG,0,0,0,0,0,0,0,0,,6,19,0,6,6,6,34,1,20,0,0
Odell Beckham\BeckOd00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,16,10,100,0,25,0,0
Will Tye\TyexWi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,16,0,0
Sterling Shepard\ShepSt00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,21,1,10,0,0
Jerell Adams\AdamJe01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
Roger Lewis\LewiRo03,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Larry Donnell\DonnLa00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ben Roethlisberger\RoetBe00,PIT,24,36,289,2,1,2,17,37,98.0,0,0,0,0,0,0,0,0,0,0,0
Le'Veon Bell\BellLe00,PIT,0,1,0,0,0,0,0,0,39.6,29,118,0,19,7,6,64,0,21,1,1
Ladarius Green\GreeLa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,110,1,37,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,54,1,22,0,0
Jesse James\JameJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,16,0,0
Eli Rogers\RogeEl00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,18,0,18,0,0
Cobi Hamilton\HamiCo00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,12,0,0
David Johnson\JohnDa05,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Landry Jones\JoneLa02,PIT,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
