Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Barkley\BarkMa00,CHI,20,32,212,1,0,1,8,31,92.2,0,0,0,0,0,0,0,0,0,0,0
Jordan Howard\HowaJo00,CHI,0,0,0,0,0,0,0,0,,13,86,0,31,5,2,24,0,19,0,0
Jeremy Langford\LangJe00,CHI,0,0,0,0,0,0,0,0,,3,4,0,3,1,1,1,0,1,0,0
Ka'Deem Carey\CareKa00,CHI,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Cameron Meredith\MereCa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,72,1,31,0,0
Josh Bellamy\BellJo02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,45,0,23,0,0
Daniel Brown\BrowDa04,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,42,0,11,0,0
Deonte Thompson\ThomDe04,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,28,0,24,0,0
Daniel Braverman\BravDa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matthew Stafford\StafMa00,DET,21,35,223,1,2,3,14,48,64.3,4,15,1,7,0,0,0,0,0,0,0
Dwayne Washington\WashDw00,DET,0,0,0,0,0,0,0,0,,16,64,0,12,2,1,10,0,10,0,0
Zach Zenner\ZennZa00,DET,0,0,0,0,0,0,0,0,,7,36,0,13,2,2,9,0,5,0,0
Marvin Jones\JoneMa02,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,67,0,48,0,0
Anquan Boldin\BoldAn00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,49,1,23,0,0
Eric Ebron\EbroEr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,0,14,0,0
Andre Roberts\RobeAn00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-2,0,-2,0,0
Golden Tate\TateGo00,DET,0,0,0,0,0,0,0,0,,1,-1,0,-1,11,6,58,0,14,0,0
