Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Philip Rivers\RivePh00,SDG,21,39,236,2,3,5,16,46,57.2,0,0,0,0,0,0,0,0,0,2,2
Kenneth Farrow\FarrKe02,SDG,0,0,0,0,0,0,0,0,,16,55,0,11,6,6,23,0,9,0,0
Melvin Gordon\GordMe00,SDG,0,0,0,0,0,0,0,0,,3,5,0,4,1,0,0,0,0,0,0
Dontrelle Inman\InmaDo00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,71,1,20,0,0
Tyrell Williams\WillTy00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,68,0,46,0,0
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,61,0,27,0,0
Hunter Henry\HenrHu00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,1,9,0,0
Travis Benjamin\BenjTr00,SDG,0,0,0,0,0,0,0,0,,1,-2,0,-2,3,0,0,0,0,0,0
Cam Newton\NewtCa00,CAR,10,27,160,1,1,2,14,36,54.6,8,31,0,8,0,0,0,0,0,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,24,66,1,20,2,0,0,0,0,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,3,15,0,10,1,0,0,0,0,0,0
Corey Brown\BrowPh00,CAR,0,0,0,0,0,0,0,0,,1,9,0,9,3,1,8,0,8,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,2,5,0,8,4,2,21,0,11,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,87,0,36,0,0
Devin Funchess\FuncDe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,33,1,27,0,0
Kelvin Benjamin\BenjKe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,11,0,11,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
