Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Robert Griffin\GrifRo01,CLE,17,28,196,0,0,5,34,33,81.8,8,48,1,18,0,0,0,0,0,1,0
Duke Johnson\JohnDu00,CLE,0,0,0,0,0,0,0,0,,5,31,0,13,7,5,62,0,22,1,0
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,8,28,0,25,2,0,0,0,0,0,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,35,0,28,0,0
Andrew Hawkins\HawkAn00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,33,0,33,0,0
Corey Coleman\ColeCo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,24,0,11,0,0
Terrelle Pryor\PryoTe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,19,0,8,0,0
Dan Vitale\VitaDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Seth Devalve\DevaSe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Tyrod Taylor\TaylTy00,BUF,17,24,174,1,0,1,3,23,105.2,7,49,0,28,0,0,0,0,0,0,0
EJ Manuel\ManuEJ00,BUF,0,1,0,0,0,0,0,0,39.6,1,1,0,1,0,0,0,0,0,0,0
LeSean McCoy\McCoLe01,BUF,0,0,0,0,0,0,0,0,,19,153,2,24,3,3,16,0,14,0,0
Mike Gillislee\GillMi00,BUF,0,0,0,0,0,0,0,0,,9,37,1,8,0,0,0,0,0,0,0
Brandon Tate\TateBr00,BUF,0,0,0,0,0,0,0,0,,1,30,0,30,0,0,0,0,0,0,0
Jonathan Williams\WillJo07,BUF,0,0,0,0,0,0,0,0,,3,10,0,5,0,0,0,0,0,0,0
Charles Clay\ClayCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,72,1,19,0,0
Marquise Goodwin\GoodMa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,43,0,23,0,0
Justin Hunter\HuntJu00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,16,0,16,0,0
Jerome Felton\FeltJe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Sammy Watkins\WatkSa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,10,0,10,0,0
Robert Woods\WoodRo02,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Nick O'Leary\OLeaNi00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
