Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,ARI,16,26,284,1,0,1,8,80,111.7,1,-1,0,-1,0,0,0,0,0,0,0
Larry Fitzgerald\FitzLa00,ARI,0,1,0,0,0,0,0,0,39.6,0,0,0,0,4,4,31,0,16,0,0
David Johnson\JohnDa08,ARI,0,0,0,0,0,0,0,0,,28,95,3,33,7,4,41,0,29,1,1
JJ Nelson\NelsJJ00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,132,1,80,0,0
Jermaine Gresham\GresJe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,40,0,34,0,0
Brittan Golden\GoldBr00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,22,0,22,0,0
John Brown\BrowJo02,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Kerwynn Williams\WillKe05,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Russell Wilson\WilsRu00,SEA,29,45,350,4,0,6,37,42,117.8,10,36,0,15,0,0,0,0,0,1,1
Alex Collins\CollAl00,SEA,0,0,0,0,0,0,0,0,,7,28,0,13,4,4,19,0,9,0,0
Thomas Rawls\RawlTh00,SEA,0,0,0,0,0,0,0,0,,8,8,0,4,1,0,0,0,0,0,0
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,2,6,0,4,19,13,171,1,42,0,0
Jimmy Graham\GrahJi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,43,1,37,0,0
Paul Richardson\RichPa01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,42,1,16,0,0
Tyler Lockett\LockTy00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,38,0,28,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,37,1,16,0,0
