Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jameis Winston\WinsJa00,TAM,23,35,277,2,2,2,17,34,85.1,3,14,0,8,0,0,0,0,0,0,0
Jacquizz Rodgers\RodgJa00,TAM,0,0,0,0,0,0,0,0,,15,63,1,13,2,2,15,0,12,0,0
Charles Sims\SimsCh00,TAM,0,0,0,0,0,0,0,0,,3,12,0,12,4,4,30,0,13,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,97,1,34,0,0
Russell Shepard\ShepRu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,61,0,24,0,0
Josh Huff\HuffJo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,12,0,0
Brandon Myers\MyerBr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,21,0,12,0,0
Cameron Brate\BratCa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,1,12,0,0
Adam Humphries\HumpAd00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Alan Cross\CrosAl00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Drew Brees\BreeDr00,NOR,23,34,299,1,0,2,5,46,104.9,4,1,0,4,0,0,0,0,0,0,0
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,18,90,2,14,3,2,3,0,5,0,0
Tim Hightower\HighTi00,NOR,0,0,0,0,0,0,0,0,,8,29,0,7,1,1,11,0,11,0,0
John Kuhn\KuhnJo00,NOR,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,7,0,7,0,0
Brandin Cooks\CookBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,98,0,42,1,0
Michael Thomas\ThomMi05,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,98,0,46,0,0
Coby Fleener\FleeCo00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,30,0,21,0,0
Willie Snead\SneaWi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,21,0,14,0,0
Travaris Cadet\CadeTr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,1,11,0,0
John Phillips\PhilJo00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,10,0,0
