Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Mark Sanchez\SancMa00,DAL,9,17,85,0,2,3,25,33,27.5,2,0,0,1,0,0,0,0,0,0,0
Dak Prescott\PresDa01,DAL,4,8,37,0,0,0,0,15,63.0,1,9,0,9,0,0,0,0,0,0,0
Tony Romo\RomoTo00,DAL,3,4,29,1,0,0,0,15,134.4,0,0,0,0,0,0,0,0,0,0,0
Darren McFadden\McFaDa00,DAL,0,0,0,0,0,0,0,0,,7,28,0,24,3,2,19,0,11,0,0
Lance Dunbar\DunbLa00,DAL,0,0,0,0,0,0,0,0,,3,20,0,10,6,3,19,0,9,1,0
Alfred Morris\MorrAl00,DAL,0,0,0,0,0,0,0,0,,8,12,0,9,2,1,3,0,3,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,49,0,33,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,33,1,15,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Lucky Whitehead\WhitLu00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Gavin Escobar\EscoGa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
Brice Butler\ButlBr00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Carson Wentz\WentCa00,PHI,27,43,245,2,0,2,13,20,93.7,1,13,0,13,0,0,0,0,0,0,0
Byron Marshall\MarsBy01,PHI,0,0,0,0,0,0,0,0,,10,42,0,12,2,1,4,0,4,0,0
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,9,32,0,11,5,3,4,0,11,0,0
Terrell Watson\WatsTe00,PHI,0,0,0,0,0,0,0,0,,9,28,1,8,1,1,5,0,5,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,16,13,139,2,20,0,0
Trey Burton\BurtTr01,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,39,0,12,0,0
Paul Turner\TurnPa01,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,30,0,19,0,0
Dorial Green-Beckham\GreeDo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,15,0,15,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Bryce Treggs\TregBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Nelson Agholor\AghoNe00,PHI,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
