Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,20,36,213,1,1,5,33,39,70.7,3,29,1,10,0,0,0,0,0,3,1
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,12,50,0,13,1,0,0,0,0,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,7,3,0,5,1,1,16,0,16,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,1,1,0,1,7,5,42,0,14,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,73,1,39,0,0
Jared Cook\CookJa02,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,31,0,14,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,26,0,13,1,1
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,15,0,0
Trevor Davis\DaviTr03,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sam Bradford\BradSa00,MIN,22,31,286,2,0,4,32,46,121.2,1,-3,0,-3,0,0,0,0,0,0,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,12,19,0,5,3,2,7,0,7,0,0
Matt Asiata\AsiaMa00,MIN,0,0,0,0,0,0,0,0,,6,14,0,12,1,1,11,0,11,0,0
Jerick McKinnon\McKiJe00,MIN,0,0,0,0,0,0,0,0,,2,2,0,2,1,1,-1,0,-1,0,0
Stefon Diggs\DiggSt00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,182,1,46,0,0
Adam Thielen\ThieAd00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,41,0,15,1,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,31,1,19,0,0
Charles Johnson\JohnCh08,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,10,0,0
Cordarrelle Patterson\PattCo00,MIN,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0
