Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Wentz\WentCa00,PHI,21,34,190,1,0,2,10,32,86.6,6,10,0,7,0,0,0,0,0,0,0
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,12,40,0,14,2,2,8,0,6,0,0
Ryan Mathews\MathRy00,PHI,0,0,0,0,0,0,0,0,,9,32,2,30,1,1,3,0,3,0,0
Wendell Smallwood\SmalWe00,PHI,0,0,0,0,0,0,0,0,,2,16,0,11,1,0,0,0,0,0,0
Kenjon Barner\BarnKe00,PHI,0,0,0,0,0,0,0,0,,2,2,0,3,0,0,0,0,0,0,0
Jordan Matthews\MattJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,71,0,32,0,0
Trey Burton\BurtTr01,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,49,1,14,0,0
Nelson Agholor\AghoNe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,18,0,0
Dorial Green-Beckham\GreeDo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,18,0,9,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Josh Huff\HuffJo00,PHI,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,-1,0,-1,0,0
Jay Cutler\CutlJa00,CHI,12,17,157,0,1,3,15,49,74.9,0,0,0,0,0,0,0,0,0,1,1
Brian Hoyer\HoyeBr00,CHI,9,12,78,0,0,0,0,19,91.7,0,0,0,0,0,0,0,0,0,0,0
Jeremy Langford\LangJe00,CHI,0,0,0,0,0,0,0,0,,11,28,1,16,2,1,6,0,6,1,1
Jordan Howard\HowaJo00,CHI,0,0,0,0,0,0,0,0,,3,22,0,10,2,2,9,0,7,0,0
Kevin White\WhitKe00,CHI,0,0,0,0,0,0,0,0,,1,9,0,9,6,4,36,0,19,0,0
Ka'Deem Carey\CareKa00,CHI,0,0,0,0,0,0,0,0,,2,3,0,2,1,1,3,0,3,0,0
Paul Lasike\LasiPa00,CHI,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,96,0,49,0,0
Eddie Royal\RoyaEd00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,52,0,31,0,0
Zach Miller\MillZa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,33,0,12,0,0
