Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Russell Wilson\WilsRu00,SEA,22,35,254,0,0,2,15,53,84.7,5,14,0,8,0,0,0,0,0,1,0
Christine Michael\MichCh00,SEA,0,0,0,0,0,0,0,0,,10,60,0,16,4,3,26,0,13,1,1
Tyler Lockett\LockTy00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,99,0,53,0,0
Jimmy Graham\GrahJi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,42,0,17,0,0
Paul Richardson\RichPa01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,0,14,0,0
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,20,0,8,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,11,0,9,0,0
Luke Willson\WillLu00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Will Tukuafu\TukuWi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Alex Collins\CollAl00,SEA,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0
Thomas Rawls\RawlTh00,SEA,0,0,0,0,0,0,0,0,,7,-7,0,4,3,3,15,0,11,0,0
Case Keenum\KeenCa00,LAR,18,30,239,0,0,3,20,44,85.3,3,5,0,7,0,0,0,0,0,0,0
Todd Gurley\GurlTo01,LAR,0,0,0,0,0,0,0,0,,19,51,0,11,1,1,19,0,19,0,0
Tavon Austin\AustTa00,LAR,0,0,0,0,0,0,0,0,,2,6,0,8,9,5,50,0,27,0,0
Benny Cunningham\CunnBe01,LAR,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,7,0,7,0,0
Kenny Britt\BritKe00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,94,0,36,0,0
Lance Kendricks\KendLa00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,61,0,44,0,0
Brian Quick\QuicBr00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
