Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Case Keenum\KeenCa00,LAR,14,26,190,2,1,1,7,44,87.0,2,1,0,5,0,0,0,0,0,0,0
Todd Gurley\GurlTo01,LAR,0,0,0,0,0,0,0,0,,27,85,2,16,2,1,-5,0,-5,0,0
Benny Cunningham\CunnBe01,LAR,0,0,0,0,0,0,0,0,,2,29,0,22,1,1,10,0,10,0,0
Tavon Austin\AustTa00,LAR,0,0,0,0,0,0,0,0,,2,22,0,14,8,5,82,1,43,0,0
Brian Quick\QuicBr00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,53,1,44,0,0
Kenny Britt\BritKe00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,38,0,19,1,1
Bradley Marquez\MarqBr00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Mike Thomas\ThomMi04,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Lance Kendricks\KendLa00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
Jameis Winston\WinsJa00,TAM,36,58,405,3,1,2,16,33,93.0,4,13,0,10,0,0,0,0,0,1,1
Charles Sims\SimsCh00,TAM,0,0,0,0,0,0,0,0,,13,55,1,23,8,6,69,0,33,0,0
Jacquizz Rodgers\RodgJa00,TAM,0,0,0,0,0,0,0,0,,5,15,0,4,1,1,8,0,8,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,132,1,19,0,0
Adam Humphries\HumpAd00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,100,0,31,0,0
Cameron Brate\BratCa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,46,2,20,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,16,0,0
Brandon Myers\MyerBr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
Russell Shepard\ShepRu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Alan Cross\CrosAl00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
