Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,ARI,35,46,363,3,1,8,47,21,111.1,0,0,0,0,0,0,0,0,0,2,1
David Johnson\JohnDa08,ARI,0,0,0,0,0,0,0,0,,10,24,0,9,9,7,84,0,21,0,0
JJ Nelson\NelsJJ00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,79,2,19,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,10,74,0,11,0,0
John Brown\BrowJo02,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,49,1,17,0,0
Jermaine Gresham\GresJe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,19,0,0
Brittan Golden\GoldBr00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,29,0,17,0,0
Andre Ellington\ElliAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Ifeanyi Momah\MomaIf00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Cam Newton\NewtCa00,CAR,14,27,212,0,0,1,4,50,78.0,7,43,0,19,0,0,0,0,0,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,25,95,2,19,2,1,25,0,25,1,1
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,2,2,0,2,0,0,0,0,0,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,2,1,0,1,2,1,9,0,9,0,0
Kelvin Benjamin\BenjKe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,73,0,50,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,53,0,16,0,0
Devin Funchess\FuncDe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,0,22,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Corey Brown\BrowPh00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,3,0,3,0,0
