Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andrew Luck\LuckAn00,IND,23,36,281,1,2,2,11,39,74.0,7,15,0,7,0,0,0,0,0,0,0
Frank Gore\GoreFr00,IND,0,0,0,0,0,0,0,0,,19,60,2,11,2,2,11,0,11,0,0
Robert Turbin\TurbRo00,IND,0,0,0,0,0,0,0,0,,2,10,0,7,3,2,13,0,9,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,82,0,27,0,0
Jack Doyle\DoylJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,61,0,20,0,0
Donte Moncrief\MoncDo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,55,1,39,0,0
Phillip Dorsett\DorsPh00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,28,0,15,0,0
Dwayne Allen\AlleDw00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Josh Ferguson\FergJo02,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Erik Swoope\SwooEr00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Aaron Rodgers\RodgAa00,GNB,26,43,297,3,1,3,8,40,94.8,6,43,0,21,0,0,0,0,0,0,0
Ty Montgomery\MontTy01,GNB,0,0,0,0,0,0,0,0,,7,53,0,24,3,3,38,0,18,0,0
Don Jackson\JackDo01,GNB,0,0,0,0,0,0,0,0,,4,16,0,6,0,0,0,0,0,0,0
Aaron Ripkowski\RipkAa00,GNB,0,0,0,0,0,0,0,0,,2,4,0,2,1,1,3,0,3,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,94,1,26,0,0
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,64,0,22,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,41,1,40,0,0
Jeff Janis\JaniJe00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,25,0,25,0,0
Justin Perillo\PeriJu00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,9,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,1,11,0,0
Geronimo Allison\AlliGe01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
