Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ben Roethlisberger\RoetBe00,PIT,24,36,263,2,1,1,8,50,95.0,3,-8,0,-1,0,0,0,0,0,0,0
Le'Veon Bell\BellLe00,PIT,0,0,0,0,0,0,0,0,,10,32,0,15,6,3,15,0,10,0,0
James Conner\ConnJa00,PIT,0,0,0,0,0,0,0,0,,4,11,0,5,0,0,0,0,0,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,11,11,182,0,50,1,0
Jesse James\JameJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,41,2,19,0,0
Martavis Bryant\BryaMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,14,0,14,0,0
Eli Rogers\RogeEl00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,11,0,9,0,0
Vance McDonald\McDoVa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
DeShone Kizer\KizeDe00,CLE,20,30,222,1,1,7,42,29,85.7,5,17,1,11,0,0,0,0,0,0,0
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,17,33,0,6,2,2,33,0,23,0,0
Matthew Dayes\DayeMa00,CLE,0,0,0,0,0,0,0,0,,3,7,0,3,2,2,9,0,8,0,0
Corey Coleman\ColeCo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,53,1,23,0,0
Seth Devalve\DevaSe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,42,0,21,0,0
Ricardo Louis\LouiRi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,32,0,29,0,0
Duke Johnson\JohnDu00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,20,0,14,0,0
David Njoku\NjokDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,13,0,0
Kenny Britt\BritKe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,0,0
Kasen Williams\WillKa02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
