Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andy Dalton\DaltAn00,CIN,20,35,265,2,0,1,10,70,100.3,1,0,0,0,0,0,0,0,0,2,2
Joe Mixon\MixoJo00,CIN,0,0,0,0,0,0,0,0,,9,37,1,13,3,1,3,0,3,0,0
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,2,10,0,8,5,5,38,0,15,0,0
Alex Erickson\EricAl01,CIN,0,0,0,0,0,0,0,0,,2,6,0,7,1,1,4,0,4,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,115,1,70,0,0
Brandon LaFell\LaFeBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,95,1,37,0,0
Josh Malone\MaloJo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Tyler Kroft\KrofTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,4,0,4,0,0
John Ross\RossJo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marcus Mariota\MariMa01,TEN,25,44,264,1,1,4,28,20,72.5,6,51,0,28,0,0,0,0,0,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,11,52,0,23,3,0,0,0,0,0,0
DeMarco Murray\MurrDe00,TEN,0,0,0,0,0,0,0,0,,14,42,2,9,4,4,30,1,9,0,0
Adoree' Jackson\JackAd00,TEN,0,0,0,0,0,0,0,0,,3,30,0,20,0,0,0,0,0,0,0
Taywan Taylor\TaylTa00,TEN,0,0,0,0,0,0,0,0,,1,4,0,4,3,2,34,0,20,0,0
Jalston Fowler\FowlJa00,TEN,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,63,0,20,0,0
Rishard Matthews\MattRi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,50,0,20,0,0
Corey Davis\DaviCo03,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,48,0,19,1,1
Jonnu Smith\SmitJo01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,20,0,12,0,0
Eric Decker\DeckEr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,10,0,0
