Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
DeShone Kizer\KizeDe00,CLE,21,37,232,1,1,1,3,38,73.3,7,57,1,20,0,0,0,0,0,0,0
Cody Kessler\KessCo00,CLE,1,3,5,0,0,3,22,5,42.4,0,0,0,0,0,0,0,0,0,0,0
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,16,90,1,21,2,1,5,0,5,0,0
Duke Johnson\JohnDu00,CLE,0,0,0,0,0,0,0,0,,10,54,0,19,6,6,34,0,10,0,0
Seth Devalve\DevaSe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,70,0,35,1,1
Sammie Coates\CoatSa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,38,0,38,0,0
Kenny Britt\BritKe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,38,1,19,0,0
Rashard Higgins\HiggRa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,34,0,18,0,0
Ricardo Louis\LouiRi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,15,0,12,0,0
David Njoku\NjokDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,3,0,3,0,0
Bryce Treggs\TregBr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Dan Vitale\VitaDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matthew Stafford\StafMa00,DET,17,26,249,3,1,4,8,50,118.9,4,17,0,10,0,0,0,0,0,0,0
Ameer Abdullah\AbduAm00,DET,0,0,0,0,0,0,0,0,,11,52,1,20,2,1,3,0,3,0,0
Theo Riddick\RiddTh00,DET,0,0,0,0,0,0,0,0,,4,35,0,21,3,3,12,1,8,0,0
Golden Tate\TateGo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,97,1,40,0,0
Kenny Golladay\GollKe00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,64,0,50,0,0
Eric Ebron\EbroEr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,39,1,29,0,0
Marvin Jones\JoneMa02,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,22,0,22,0,0
Dwayne Washington\WashDw00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
T.J. Jones\JoneT.00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,2,0,2,0,0
Darren Fells\FellDa01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
