Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Savage\SavaTo00,HOU,18,36,221,1,2,3,27,36,55.4,2,0,0,1,0,0,0,0,0,2,2
Lamar Miller\MillLa01,HOU,0,0,0,0,0,0,0,0,,11,60,0,21,1,1,14,0,14,0,0
D'Onta Foreman\ForeDO00,HOU,0,0,0,0,0,0,0,0,,7,18,0,6,0,0,0,0,0,0,0
Alfred Blue\BlueAl00,HOU,0,0,0,0,0,0,0,0,,4,10,0,7,0,0,0,0,0,0,0
Braxton Miller\MillBr03,HOU,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
DeAndre Hopkins\HopkDe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,111,0,36,0,0
Bruce Ellington\ElliBr00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,41,1,26,0,0
Stephen Anderson\AndeSt01,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,30,0,17,0,0
Will Fuller\FullWi01,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0
C.J. Fiedorowicz\FiedC.00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,10,0,7,0,0
Jared Goff\GoffJa00,LAR,25,37,355,3,0,3,22,94,125.4,4,3,0,6,0,0,0,0,0,0,0
Johnny Hekker\HekkJo00,LAR,1,1,6,0,0,0,0,0,91.7,0,0,0,0,0,0,0,0,0,0,0
Todd Gurley\GurlTo01,LAR,0,0,0,0,0,0,0,0,,11,68,0,34,7,6,68,0,43,0,0
Lance Dunbar\DunbLa00,LAR,0,0,0,0,0,0,0,0,,5,31,0,12,1,0,0,0,0,0,0
Tavon Austin\AustTa00,LAR,0,0,0,0,0,0,0,0,,5,2,0,7,0,0,0,0,0,0,0
Robert Woods\WoodRo02,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,171,2,94,0,0
Cooper Kupp\KuppCo00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,47,0,19,0,0
Sammy Watkins\WatkSa00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,41,1,24,0,0
Tyler Higbee\HigbTy00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,15,0,0
Pharoh Cooper\CoopPh00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,6,0,0
Gerald Everett\EverGe00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
