Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,25,34,266,3,0,1,6,27,125.4,1,0,0,0,0,0,0,0,0,0,0
Brian Hoyer\HoyeBr00,NWE,3,3,37,0,0,0,0,27,118.1,0,0,0,0,0,0,0,0,0,0,0
Dion Lewis\LewiDi00,NWE,0,0,0,0,0,0,0,0,,14,55,1,9,0,0,0,0,0,0,0
Rex Burkhead\BurkRe00,NWE,0,0,0,0,0,0,0,0,,10,36,0,8,3,3,27,1,14,0,0
James White\WhitJa02,NWE,0,0,0,0,0,0,0,0,,2,7,0,4,3,3,11,1,8,0,0
Brandon Bolden\BoldBr00,NWE,0,0,0,0,0,0,0,0,,2,1,0,2,0,0,0,0,0,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,74,0,26,0,0
Brandin Cooks\CookBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,74,0,27,0,0
Martellus Bennett\BennMa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,38,0,27,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,36,0,16,0,0
Phillip Dorsett\DorsPh00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,11,0,0
James Develin\DeveJa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,10,0,0
Dwayne Allen\AlleDw00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,1,11,0,0
Brock Osweiler\OsweBr00,DEN,18,33,221,1,1,0,0,38,72.9,1,-1,0,-1,0,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,10,54,0,21,1,1,1,0,1,0,0
Jamaal Charles\CharJa00,DEN,0,0,0,0,0,0,0,0,,8,38,0,11,1,0,0,0,0,0,0
Devontae Booker\BookDe00,DEN,0,0,0,0,0,0,0,0,,8,24,0,7,1,1,5,0,5,0,0
Andy Janovich\JanoAn00,DEN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,137,0,38,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,44,1,17,0,0
Cody Latimer\LatiCo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,11,0,0
Jeff Heuerman\HeueJe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,0
A.J. Derby\DerbA.00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Bennie Fowler\FowlBe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
