Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,30,37,340,3,0,1,8,64,132.0,0,0,0,0,0,0,0,0,0,0,0
Dion Lewis\LewiDi00,NWE,0,0,0,0,0,0,0,0,,10,60,0,20,4,4,28,1,15,0,0
Rex Burkhead\BurkRe00,NWE,0,0,0,0,0,0,0,0,,5,16,0,4,6,4,21,0,10,1,0
James White\WhitJa02,NWE,0,0,0,0,0,0,0,0,,5,13,0,6,1,0,0,0,0,0,0
Brandin Cooks\CookBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,149,1,64,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,66,1,18,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,0,14,0,0
Dwayne Allen\AlleDw00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,19,0,0
Martellus Bennett\BennMa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,15,0,6,0,0
Derek Carr\CarrDe02,OAK,28,49,237,1,1,1,2,26,68.2,0,0,0,0,0,0,0,0,0,0,0
Marshawn Lynch\LyncMa00,OAK,0,0,0,0,0,0,0,0,,11,67,0,25,1,1,10,0,10,0,0
Jalen Richard\RichJa01,OAK,0,0,0,0,0,0,0,0,,4,19,0,7,3,2,9,0,5,0,0
Jamize Olawale\OlawJa00,OAK,0,0,0,0,0,0,0,0,,3,16,0,11,2,2,6,0,4,0,0
DeAndre Washington\WashDe00,OAK,0,0,0,0,0,0,0,0,,3,7,0,5,3,2,12,0,7,0,0
Michael Crabtree\CrabMi00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,51,0,15,0,0
Cordarrelle Patterson\PattCo00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,45,0,22,0,0
Seth Roberts\RobeSe00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,36,0,9,1,1
Jared Cook\CookJa02,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,36,0,26,0,0
Amari Cooper\CoopAm00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,28,1,13,0,0
Clive Walford\WalfCl00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Johnny Holton\HoltJo00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
