Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,13,27,113,0,1,4,27,27,44.2,1,-1,0,-1,0,0,0,0,0,1,0
Wayne Gallman\GallWa00,NYG,0,0,0,0,0,0,0,0,,9,37,0,9,2,2,6,0,5,0,0
Orleans Darkwa\DarkOr00,NYG,0,0,0,0,0,0,0,0,,11,30,0,6,1,1,9,0,9,0,0
Shane Vereen\VereSh00,NYG,0,0,0,0,0,0,0,0,,3,18,0,11,2,1,9,0,9,0,0
Tavarres King\KingTa00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,36,0,27,0,0
Roger Lewis\LewiRo03,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,26,0,19,0,0
Evan Engram\EngrEv00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,18,0,14,0,0
Rhett Ellison\ElliRh00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Travis Rudolph\RudoTr00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Kirk Cousins\CousKi00,WAS,19,31,242,2,1,6,41,38,93.8,3,4,0,7,0,0,0,0,0,0,0
Samaje Perine\PeriSa00,WAS,0,0,0,0,0,0,0,0,,24,100,0,16,4,3,30,0,11,0,0
Byron Marshall\MarsBy01,WAS,0,0,0,0,0,0,0,0,,4,18,0,11,2,1,12,0,12,0,0
Jamison Crowder\CrowJa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,141,1,38,0,0
Josh Doctson\DoctJo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,28,1,14,0,0
Niles Paul\PaulNi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,16,0,8,0,0
Maurice Harris\HarrMa05,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,7,0,0
Ryan Grant\GranRy01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Vernon Davis\DaviVe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
