Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Savage\SavaTo00,HOU,31,49,365,1,1,4,34,57,84.1,1,-1,0,-1,0,0,0,0,0,0,0
Lamar Miller\MillLa01,HOU,0,0,0,0,0,0,0,0,,15,56,0,12,4,4,38,0,11,0,0
Alfred Blue\BlueAl00,HOU,0,0,0,0,0,0,0,0,,4,2,0,3,1,1,7,0,7,0,0
DeAndre Hopkins\HopkDe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,80,0,17,0,0
Stephen Anderson\AndeSt01,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,12,5,79,1,25,0,0
Braxton Miller\MillBr03,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,71,0,57,0,0
C.J. Fiedorowicz\FiedC.00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,9,0,0
Chris Thompson\ThomCh05,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,1,0
Bruce Ellington\ElliBr00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Andre Ellington\ElliAn00,HOU,0,0,0,0,0,0,0,0,,2,-4,0,-1,6,5,56,0,29,0,0
Marcus Mariota\MariMa01,TEN,15,23,150,1,0,2,4,24,98.1,3,23,1,12,0,0,0,0,0,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,11,109,1,75,0,0,0,0,0,1,0
DeMarco Murray\MurrDe00,TEN,0,0,0,0,0,0,0,0,,11,66,0,22,2,2,13,0,13,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,63,1,24,0,0
Eric Decker\DeckEr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,27,0,12,0,0
Phillip Supernaw\SupePh00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Taywan Taylor\TaylTa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,15,0,0
Corey Davis\DaviCo03,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,13,0,0
Jonnu Smith\SmitJo01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
