Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jared Goff\GoffJa00,LAR,21,31,220,2,1,1,7,33,96.2,1,2,0,2,0,0,0,0,0,1,0
Todd Gurley\GurlTo01,LAR,0,0,0,0,0,0,0,0,,19,74,0,14,7,6,84,0,33,0,0
Tavon Austin\AustTa00,LAR,0,0,0,0,0,0,0,0,,3,8,0,4,1,0,0,0,0,0,0
Pharoh Cooper\CoopPh00,LAR,0,0,0,0,0,0,0,0,,1,6,0,6,1,1,-3,0,-3,0,0
Cooper Kupp\KuppCo00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,68,0,25,0,0
Sammy Watkins\WatkSa00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,1,14,0,0
Derek Carrier\CarrDe00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Gerald Everett\EverGe00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,7,1,6,0,0
Tyler Higbee\HigbTy00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Josh Reynolds\ReynJo00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,6,0,3,0,0
Blaine Gabbert\GabbBl00,ARI,18,32,221,1,2,7,34,27,62.1,4,12,0,5,0,0,0,0,0,1,0
Kerwynn Williams\WillKe05,ARI,0,0,0,0,0,0,0,0,,16,97,0,25,0,0,0,0,0,0,0
D.J. Foster\FostD.01,ARI,0,0,0,0,0,0,0,0,,2,5,0,4,5,2,20,0,16,0,0
Elijhaa Penny\PennEl00,ARI,0,0,0,0,0,0,0,0,,2,4,1,3,0,0,0,0,0,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,98,1,20,0,0
Ricky Seals-Jones\SealRi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,44,0,27,0,0
JJ Nelson\NelsJJ00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,42,0,26,0,0
Jermaine Gresham\GresJe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,13,0,0
Chad Williams\WillCh05,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
