Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jacoby Brissett\BrisJa00,IND,11,22,69,1,0,1,5,11,72.0,3,10,0,8,0,0,0,0,0,0,0
Frank Gore\GoreFr00,IND,0,0,0,0,0,0,0,0,,36,130,0,10,1,1,10,0,10,0,0
Marlon Mack\MackMa00,IND,0,0,0,0,0,0,0,0,,7,23,0,20,3,2,21,0,11,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,20,0,10,0,0
Brandon Williams\WillBr04,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,0,5,0,0
Chester Rogers\RogeCh02,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,6,0,6,0,0
Jack Doyle\DoylJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,4,1,3,0,0
Ross Travis\TravRo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Nathan Peterman\PeteNa00,BUF,5,10,57,1,0,0,0,21,100.8,4,10,0,7,0,0,0,0,0,1,0
Joe Webb\WebbJo00,BUF,2,6,35,0,1,0,0,34,14.6,5,27,0,12,0,0,0,0,0,0,0
LeSean McCoy\McCoLe01,BUF,0,0,0,0,0,0,0,0,,32,156,1,25,0,0,0,0,0,0,0
Mike Tolbert\TolbMi00,BUF,0,0,0,0,0,0,0,0,,6,32,0,25,0,0,0,0,0,1,1
Travaris Cadet\CadeTr00,BUF,0,0,0,0,0,0,0,0,,4,2,0,3,0,0,0,0,0,0,0
Kelvin Benjamin\BenjKe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,38,1,21,0,0
Deonte Thompson\ThomDe04,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,34,0,34,0,0
Charles Clay\ClayCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,0,10,0,0
Nick O'Leary\OLeaNi00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
