Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh McCown\McCoJo01,NYJ,6,12,46,0,1,4,19,14,25.0,2,7,0,8,0,0,0,0,0,1,1
Bryce Petty\PettBr01,NYJ,2,9,14,0,0,0,0,7,39.6,1,7,0,7,0,0,0,0,0,0,0
Bilal Powell\PoweBi00,NYJ,0,0,0,0,0,0,0,0,,13,35,0,12,0,0,0,0,0,0,0
Matt Forte\FortMa00,NYJ,0,0,0,0,0,0,0,0,,6,13,0,5,3,2,21,0,14,0,0
Robby Anderson\AndeRo04,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,27,0,13,0,0
Lawrence Thomas\ThomLa04,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Jermaine Kearse\KearJe01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,4,0,4,0,0
Austin Seferian-Jenkins\SefeAu00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,1,0,1,0,0
ArDarius Stewart\StewAr00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Elijah McGuire\McGuEl00,NYJ,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0
Trevor Siemian\SiemTr00,DEN,19,31,200,1,0,2,11,27,90.8,3,13,0,9,0,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,22,48,0,7,2,2,25,0,13,0,0
Devontae Booker\BookDe00,DEN,0,0,0,0,0,0,0,0,,9,22,0,6,2,2,12,0,7,0,0
Andy Janovich\JanoAn00,DEN,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,93,1,25,0,0
Cody Latimer\LatiCo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,27,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,16,0,16,0,0
Jamaal Charles\CharJa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,12,0,7,0,0
Jeff Heuerman\HeueJe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
