Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Brock Osweiler\OsweBr00,DEN,22,38,193,0,1,4,22,24,60.5,4,27,0,18,0,0,0,0,0,1,1
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,16,88,1,21,9,7,45,0,14,0,0
Devontae Booker\BookDe00,DEN,0,0,0,0,0,0,0,0,,8,47,0,11,8,5,24,0,19,1,1
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,52,0,24,0,0
Jordan Taylor\TaylJo01,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,22,0,22,0,0
Andy Janovich\JanoAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,16,0,0
Austin Traylor\TrayAu00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Isaiah McKenzie\McKeIs00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Bennie Fowler\FowlBe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,1,0
Jeff Heuerman\HeueJe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
De'Angelo Henderson\HendDe01,DEN,0,0,0,0,0,0,0,0,,1,-3,0,-3,1,1,7,0,7,0,0
Kirk Cousins\CousKi00,WAS,19,37,299,3,1,0,0,48,94.3,5,8,0,7,0,0,0,0,0,1,0
Samaje Perine\PeriSa00,WAS,0,0,0,0,0,0,0,0,,17,53,0,11,3,3,21,0,9,1,1
Kapri Bibbs\BibbKa00,WAS,0,0,0,0,0,0,0,0,,7,26,0,13,4,2,28,0,21,0,0
Ryan Grant\GranRy01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,85,0,36,0,0
Josh Doctson\DoctJo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,13,2,61,1,48,0,0
Jamison Crowder\CrowJa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,47,1,15,0,0
Vernon Davis\DaviVe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,42,1,31,0,0
Brian Quick\QuicBr00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Jeremy Sprinkle\SpriJe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Niles Paul\PaulNi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
