Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andy Dalton\DaltAn00,CIN,23,44,222,3,0,1,9,49,89.4,2,-2,0,-1,0,0,0,0,0,0,0
Joe Mixon\MixoJo00,CIN,0,0,0,0,0,0,0,0,,18,96,0,17,1,1,1,0,1,1,1
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,10,52,0,21,9,6,18,0,11,0,0
Tyler Boyd\BoydTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,91,1,49,0,0
Tyler Kroft\KrofTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,53,2,20,0,0
Brandon LaFell\LaFeBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,35,0,22,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,2,17,0,11,0,0
C.J. Uzomah\UzomC.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Joe Flacco\FlacJo00,BAL,25,47,203,2,1,1,9,16,69.7,0,0,0,0,0,0,0,0,0,0,0
Alex Collins\CollAl00,BAL,0,0,0,0,0,0,0,0,,20,78,1,17,6,2,18,0,11,0,0
Javorius Allen\AlleJa01,BAL,0,0,0,0,0,0,0,0,,5,37,0,19,1,0,0,0,0,0,0
Danny Woodhead\WoodDa02,BAL,0,0,0,0,0,0,0,0,,1,3,0,3,6,4,16,0,9,0,0
Ben Watson\WatsBe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,61,0,13,0,0
Mike Wallace\WallMi00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,13,5,40,1,12,0,0
Michael Campanaro\CampMi02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,36,0,15,0,0
Nick Boyle\BoylNi00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,16,0,0
Chris Moore\MoorCh00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,1,6,0,0
Patrick Ricard\RicaPa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
