Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Blake Bortles\BortBl00,JAX,15,34,158,0,2,2,12,23,33.7,1,9,0,9,0,0,0,0,0,0,0
Leonard Fournette\FourLe00,JAX,0,0,0,0,0,0,0,0,,19,69,0,9,5,4,67,0,23,1,0
T.J. Yeldon\YeldT.00,JAX,0,0,0,0,0,0,0,0,,4,5,0,4,2,1,-2,0,-2,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,0,18,0,0
Keelan Cole\ColeKe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,33,0,15,1,1
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,11,0,0
Dede Westbrook\WestDe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,1,9,0,9,0,0
James O'Shaughnessy\O'ShJa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Marcus Mariota\MariMa01,TEN,12,21,134,1,0,3,18,66,92.2,10,60,0,15,0,0,0,0,0,1,1
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,28,51,0,13,2,1,66,1,66,0,0
Taywan Taylor\TaylTa00,TEN,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,19,0,9,0,0
Eric Decker\DeckEr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,18,0,8,0,0
Jonnu Smith\SmitJo01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,12,0,5,0,0
Luke Stocker\StocLu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Rishard Matthews\MattRi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Corey Davis\DaviCo03,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
