Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Derek Carr\CarrDe02,OAK,19,28,243,1,1,2,12,87,91.8,2,1,0,2,0,0,0,0,0,1,1
Marshawn Lynch\LyncMa00,OAK,0,0,0,0,0,0,0,0,,19,101,0,19,3,2,18,0,17,0,0
DeAndre Washington\WashDe00,OAK,0,0,0,0,0,0,0,0,,2,3,0,2,3,2,0,0,1,0,0
Amari Cooper\CoopAm00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,115,1,87,0,0
Seth Roberts\RobeSe00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,48,0,26,0,0
Jared Cook\CookJa02,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,24,0,0
Michael Crabtree\CrabMi00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,12,0,0
Jalen Richard\RichJa01,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Cordarrelle Patterson\PattCo00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Johnny Holton\HoltJo00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
Philip Rivers\RivePh00,LAC,28,37,387,3,0,1,7,62,135.8,1,5,0,5,0,0,0,0,0,1,0
Melvin Gordon\GordMe00,LAC,0,0,0,0,0,0,0,0,,17,93,0,17,7,6,31,0,14,1,0
Branden Oliver\OlivBr01,LAC,0,0,0,0,0,0,0,0,,7,13,0,11,1,1,6,0,6,0,0
Travis Benjamin\BenjTr00,LAC,0,0,0,0,0,0,0,0,,2,4,0,3,5,4,96,1,62,0,0
Derek Watt\WattDe00,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Keenan Allen\AlleKe00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,133,1,28,0,0
Tyrell Williams\WillTy00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,67,1,56,0,0
Antonio Gates\GateAn00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,46,0,20,0,0
Mike Williams\WillMi07,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Kellen Clemens\ClemKe00,LAC,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0
