Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Marcus Mariota\MariMa01,TEN,15,27,215,1,1,1,4,42,78.5,6,24,0,8,0,0,0,0,0,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,14,92,1,17,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,TEN,0,0,0,0,0,0,0,0,,9,25,0,7,2,1,3,0,3,0,0
David Fluellen\FlueDa00,TEN,0,0,0,0,0,0,0,0,,3,18,0,10,0,0,0,0,0,0,0
Taywan Taylor\TaylTa00,TEN,0,0,0,0,0,0,0,0,,2,16,0,17,1,1,42,0,42,0,0
Jalston Fowler\FowlJa00,TEN,0,0,0,0,0,0,0,0,,1,3,1,3,0,0,0,0,0,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,1,1,1,1,4,4,61,0,19,0,0
Rishard Matthews\MattRi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,0,20,0,0
Eric Decker\DeckEr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,16,0,0
Jonnu Smith\SmitJo01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,30,1,32,0,0
Corey Davis\DaviCo03,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,0
Blake Bortles\BortBl00,JAX,20,34,223,1,2,2,12,29,63.7,4,29,0,11,0,0,0,0,0,1,1
Leonard Fournette\FourLe00,JAX,0,0,0,0,0,0,0,0,,14,40,1,7,5,2,21,0,11,0,0
Chris Ivory\IvorCh00,JAX,0,0,0,0,0,0,0,0,,6,17,0,6,4,3,31,0,29,0,0
Corey Grant\GranCo00,JAX,0,0,0,0,0,0,0,0,,1,13,0,13,0,0,0,0,0,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,82,1,20,0,0
Marqise Lee\LeexMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,76,0,19,0,0
Keelan Cole\ColeKe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,11,1,0
Ben Koyack\KoyaBe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
