Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Alex Smith\SmitAl03,KAN,16,21,155,2,0,5,33,30,128.1,2,9,0,5,0,0,0,0,0,0,0
Kareem Hunt\HuntKa00,KAN,0,0,0,0,0,0,0,0,,17,172,1,69,1,1,11,0,11,0,0
Tyreek Hill\HillTy00,KAN,0,0,0,0,0,0,0,0,,3,13,0,9,8,5,77,1,30,0,0
De'Anthony Thomas\ThomDe05,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Anthony Sherman\SherAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Demarcus Robinson\RobiDe01,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,7,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Chris Conley\ConlCh00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Charcandrick West\WestCh01,KAN,0,0,0,0,0,0,0,0,,2,-1,0,1,2,2,14,0,11,1,0
Albert Wilson\WilsAl02,KAN,0,0,0,0,0,0,0,0,,1,-4,0,-4,4,3,18,1,11,0,0
Philip Rivers\RivePh00,LAC,20,40,237,0,3,2,11,44,37.2,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon\GordMe00,LAC,0,0,0,0,0,0,0,0,,17,79,1,14,2,0,0,0,0,0,0
Branden Oliver\OlivBr01,LAC,0,0,0,0,0,0,0,0,,8,16,0,6,6,4,18,0,11,0,0
Travis Benjamin\BenjTr00,LAC,0,0,0,0,0,0,0,0,,1,9,0,9,8,5,105,0,44,0,0
Keenan Allen\AlleKe00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,61,0,17,0,0
Antonio Gates\GateAn00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,30,0,16,0,0
Tyrell Williams\WillTy00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,15,0,14,0,0
Austin Ekeler\EkelAu00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Dontrelle Inman\InmaDo00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
