Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ben Roethlisberger\RoetBe00,PIT,22,39,235,1,0,3,23,25,82.7,1,6,0,6,0,0,0,0,0,1,1
Le'Veon Bell\BellLe00,PIT,0,0,0,0,0,0,0,0,,15,61,1,13,7,6,37,0,12,0,0
Terrell Watson\WatsTe00,PIT,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,110,1,23,0,0
JuJu Smith-Schuster\SmitJu00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,39,0,25,0,0
Martavis Bryant\BryaMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,30,0,17,0,0
Jesse James\JameJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,14,0,0
Mike Glennon\GlenMi00,CHI,15,22,101,1,1,2,17,17,74.2,3,4,0,2,0,0,0,0,0,1,0
Jordan Howard\HowaJo00,CHI,0,0,0,0,0,0,0,0,,23,140,2,19,5,5,26,0,10,1,1
Tarik Cohen\CoheTa00,CHI,0,0,0,0,0,0,0,0,,12,78,0,36,4,4,24,0,9,1,0
Benny Cunningham\CunnBe01,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,23,0,11,0,0
Zach Miller\MillZa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0
Deonte Thompson\ThomDe04,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Adam Shaheen\ShahAd00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
Michael Burton\BurtMi00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Markus Wheaton\WheaMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
