Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,22,29,316,3,1,2,12,43,130.8,8,44,1,13,0,0,0,0,0,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,14,68,0,15,1,0,0,0,0,1,1
Christian McCaffrey\McCaCh01,CAR,0,0,0,0,0,0,0,0,,6,16,0,5,6,4,33,0,12,0,0
Damiere Byrd\ByrdDa00,CAR,0,0,0,0,0,0,0,0,,1,12,0,12,1,0,0,0,0,0,0
Kelvin Benjamin\BenjKe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,104,0,43,0,0
Devin Funchess\FuncDe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,70,2,16,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,62,0,25,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,1,28,0,0
Russell Shepard\ShepRu00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Tom Brady\BradTo00,NWE,32,45,307,2,0,3,14,43,104.6,1,2,0,2,0,0,0,0,0,0,0
Mike Gillislee\GillMi00,NWE,0,0,0,0,0,0,0,0,,12,49,0,13,0,0,0,0,0,0,0
Dion Lewis\LewiDi00,NWE,0,0,0,0,0,0,0,0,,4,18,1,8,1,1,9,0,9,0,0
James White\WhitJa02,NWE,0,0,0,0,0,0,0,0,,1,7,0,7,12,10,47,0,9,0,0
Brandin Cooks\CookBr00,NWE,0,0,0,0,0,0,0,0,,1,4,0,4,6,3,38,0,17,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,80,0,43,0,0
Chris Hogan\HogaCh00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,60,1,26,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,42,1,16,0,0
Phillip Dorsett\DorsPh00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
James Develin\DeveJa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,8,0,0
Jacob Hollister\HollJa03,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dwayne Allen\AlleDw00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
