Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Marcus Mariota\MariMa01,TEN,6,10,96,0,2,0,0,28,52.5,4,39,2,34,0,0,0,0,0,0,0
Matt Cassel\CassMa00,TEN,4,10,21,0,2,2,8,10,8.3,0,0,0,0,0,0,0,0,0,1,1
DeMarco Murray\MurrDe00,TEN,0,0,0,0,0,0,0,0,,7,31,0,9,2,2,4,0,4,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,6,7,0,3,0,0,0,0,0,0,0
Taywan Taylor\TaylTa00,TEN,0,0,0,0,0,0,0,0,,1,6,0,6,1,0,0,0,0,0,0
David Fluellen\FlueDa00,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,51,0,21,0,0
Rishard Matthews\MattRi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,49,0,28,0,0
Eric Decker\DeckEr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,7,0,0
Deshaun Watson\WatsDe00,HOU,25,34,283,4,1,1,3,35,125.0,4,24,1,10,0,0,0,0,0,0,0
Lamar Miller\MillLa01,HOU,0,0,0,0,0,0,0,0,,19,75,1,9,5,4,56,1,32,0,0
D'Onta Foreman\ForeDO00,HOU,0,0,0,0,0,0,0,0,,13,45,0,16,0,0,0,0,0,0,0
Bruce Ellington\ElliBr00,HOU,0,0,0,0,0,0,0,0,,1,13,0,13,4,3,44,0,35,0,0
Alfred Blue\BlueAl00,HOU,0,0,0,0,0,0,0,0,,4,12,0,8,0,0,0,0,0,0,0
Will Fuller\FullWi01,HOU,0,0,0,0,0,0,0,0,,1,4,0,4,6,4,35,2,16,0,0
DeAndre Hopkins\HopkDe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,107,1,21,0,0
Stephen Anderson\AndeSt01,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,17,0,0
Ryan Griffin\GrifRy00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,0,7,0,0
