Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh McCown\McCoJo01,NYJ,23,30,194,2,1,3,16,34,101.2,3,-3,0,-1,0,0,0,0,0,0,0
Elijah McGuire\McGuEl00,NYJ,0,0,0,0,0,0,0,0,,11,20,0,7,3,2,10,0,11,0,0
ArDarius Stewart\StewAr00,NYJ,0,0,0,0,0,0,0,0,,2,12,0,11,0,0,0,0,0,0,0
Bilal Powell\PoweBi00,NYJ,0,0,0,0,0,0,0,0,,2,5,0,5,5,4,28,0,11,0,0
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,39,0,18,0,0
Jermaine Kearse\KearJe01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,38,1,24,1,0
Eric Tomlinson\TomlEr01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,34,0,34,0,0
Austin Seferian-Jenkins\SefeAu00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,29,1,9,0,0
Robby Anderson\AndeRo04,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,10,0,0
Kevin Hogan\HogaKe00,CLE,16,19,194,2,1,0,0,41,122.4,4,30,0,11,0,0,0,0,0,0,0
DeShone Kizer\KizeDe00,CLE,8,17,87,0,1,1,2,21,38.1,6,29,0,18,0,0,0,0,0,1,1
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,16,60,0,16,3,2,7,0,4,0,0
Duke Johnson\JohnDu00,CLE,0,0,0,0,0,0,0,0,,6,20,0,8,3,3,63,1,41,0,0
David Njoku\NjokDa00,CLE,0,0,0,0,0,0,0,0,,1,1,0,1,3,3,48,1,21,0,0
Ricardo Louis\LouiRi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,71,0,21,0,0
Kasen Williams\WillKa02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,33,0,12,0,0
Bryce Treggs\TregBr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,28,0,19,0,0
Seth Devalve\DevaSe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,24,0,17,0,0
Rashard Higgins\HiggRa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,7,0,5,0,0
