Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Cassel\CassMa00,TEN,21,32,141,1,0,6,22,17,85.5,0,0,0,0,0,0,0,0,0,1,1
DeMarco Murray\MurrDe00,TEN,0,0,0,0,0,0,0,0,,14,58,0,13,5,4,11,0,7,1,1
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,4,9,0,11,0,0,0,0,0,0,0
Taywan Taylor\TaylTa00,TEN,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0
Eric Decker\DeckEr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,34,0,14,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,25,0,12,0,0
Jonnu Smith\SmitJo01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,21,0,9,0,0
Phillip Supernaw\SupePh00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,1,11,0,0
Jalston Fowler\FowlJa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Rishard Matthews\MattRi00,TEN,0,0,0,0,0,0,0,0,,1,-3,0,-3,6,3,34,0,17,0,0
Jay Cutler\CutlJa00,MIA,12,26,92,1,1,1,14,17,52.1,2,8,0,9,0,0,0,0,0,0,0
MarQueis Gray\GrayMa00,MIA,0,1,0,0,0,0,0,0,39.6,0,0,0,0,1,0,0,0,0,0,0
Jay Ajayi\AjayJa00,MIA,0,0,0,0,0,0,0,0,,25,77,0,11,3,2,2,0,2,1,1
Damien Williams\WillDa05,MIA,0,0,0,0,0,0,0,0,,3,15,0,9,2,1,13,0,13,0,0
Jarvis Landry\LandJa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,44,1,17,0,0
Julius Thomas\ThomJu00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,15,0,15,0,0
Kenny Stills\StilKe00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
DeVante Parker\ParkDe01,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kenyan Drake\DrakKe00,MIA,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Jakeem Grant\GranJa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-1,0,-1,0,0
