Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Philip Rivers\RivePh00,LAC,25,36,268,1,0,1,5,34,100.2,2,-4,0,-2,0,0,0,0,0,0,0
Melvin Gordon\GordMe00,LAC,0,0,0,0,0,0,0,0,,25,83,1,18,12,9,67,1,14,0,0
Austin Ekeler\EkelAu00,LAC,0,0,0,0,0,0,0,0,,1,1,0,1,2,1,8,0,8,0,0
Hunter Henry\HenrHu00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,90,0,34,0,0
Keenan Allen\AlleKe00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,45,0,28,0,0
Tyrell Williams\WillTy00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,27,0,14,1,1
Antonio Gates\GateAn00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Mike Williams\WillMi07,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Travis Benjamin\BenjTr00,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Derek Carr\CarrDe02,OAK,21,30,171,1,2,1,6,23,67.5,1,0,0,0,0,0,0,0,0,1,0
Marshawn Lynch\LyncMa00,OAK,0,0,0,0,0,0,0,0,,13,63,0,15,2,0,0,0,0,0,0
Cordarrelle Patterson\PattCo00,OAK,0,0,0,0,0,0,0,0,,3,55,1,47,1,1,5,0,4,0,0
Michael Crabtree\CrabMi00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,52,1,23,0,0
Seth Roberts\RobeSe00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,0,15,0,0
Amari Cooper\CoopAm00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,28,0,8,0,0
Jared Cook\CookJa02,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,7,0,0
Jalen Richard\RichJa01,OAK,0,0,0,0,0,0,0,0,,2,-1,0,2,4,3,27,0,11,1,0
DeAndre Washington\WashDe00,OAK,0,0,0,0,0,0,0,0,,3,-8,0,0,1,1,10,0,10,0,0
