Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jared Goff\GoffJa00,LAR,11,21,124,1,0,3,17,22,86.2,4,9,0,6,0,0,0,0,0,0,0
Todd Gurley\GurlTo01,LAR,0,0,0,0,0,0,0,0,,23,116,0,14,1,1,4,0,4,0,0
Malcolm Brown\BrowMa03,LAR,0,0,0,0,0,0,0,0,,3,17,0,8,0,0,0,0,0,0,0
Robert Woods\WoodRo02,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,70,0,22,1,1
Cooper Kupp\KuppCo00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,35,0,22,0,0
Sammy Watkins\WatkSa00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,11,0,11,0,0
Gerald Everett\EverGe00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,1,4,0,0
Tyler Higbee\HigbTy00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,0,0,0,0,0
Tavon Austin\AustTa00,LAR,0,0,0,0,0,0,0,0,,2,0,0,6,0,0,0,0,0,0,0
Blake Bortles\BortBl00,JAX,23,35,241,1,1,5,21,22,83.2,2,19,0,17,0,0,0,0,0,2,0
Leonard Fournette\FourLe00,JAX,0,0,0,0,0,0,0,0,,21,130,1,75,2,2,8,0,6,0,0
Marqise Lee\LeexMa00,JAX,0,0,0,0,0,0,0,0,,1,17,0,17,10,5,83,0,21,0,0
Chris Ivory\IvorCh00,JAX,0,0,0,0,0,0,0,0,,2,3,0,2,10,9,74,1,22,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,0,18,0,0
Ben Koyack\KoyaBe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
James O'Shaughnessy\O'ShJa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,9,0,0
Keelan Cole\ColeKe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tommy Bohanon\BohaTo00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
