Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ben Roethlisberger\RoetBe00,PIT,17,25,252,1,1,1,7,51,97.4,2,-2,0,-1,0,0,0,0,0,0,0
Le'Veon Bell\BellLe00,PIT,0,0,0,0,0,0,0,0,,32,179,1,27,6,3,12,0,9,0,0
James Conner\ConnJa00,PIT,0,0,0,0,0,0,0,0,,2,14,0,11,0,0,0,0,0,0,0
Terrell Watson\WatsTe00,PIT,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,155,1,51,1,0
JuJu Smith-Schuster\SmitJu00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,15,0,0
Martavis Bryant\BryaMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,0,20,0,0
Vance McDonald\McDoVa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,26,0,26,0,0
Alex Smith\SmitAl03,KAN,19,34,246,1,0,3,23,57,88.6,4,13,0,11,0,0,0,0,0,0,0
Kareem Hunt\HuntKa00,KAN,0,0,0,0,0,0,0,0,,9,21,0,5,6,5,89,0,37,0,0
Akeem Hunt\HuntAk01,KAN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
De'Anthony Thomas\ThomDe05,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,61,1,57,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,37,0,23,0,0
Demarcus Robinson\RobiDe01,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,16,0,16,0,0
Charcandrick West\WestCh01,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Demetrius Harris\HarrDe03,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tyreek Hill\HillTy00,KAN,0,0,0,0,0,0,0,0,,1,-9,0,-9,7,5,34,0,10,0,0
