Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jared Goff\GoffJa00,LAR,14,22,311,4,0,0,0,67,146.8,0,0,0,0,0,0,0,0,0,0,0
Todd Gurley\GurlTo01,LAR,0,0,0,0,0,0,0,0,,16,59,2,36,3,2,45,0,44,0,0
Malcolm Brown\BrowMa03,LAR,0,0,0,0,0,0,0,0,,15,57,0,16,0,0,0,0,0,1,0
Tavon Austin\AustTa00,LAR,0,0,0,0,0,0,0,0,,6,34,0,21,0,0,9,0,0,0,0
Gerald Everett\EverGe00,LAR,0,0,0,0,0,0,0,0,,1,13,0,13,2,1,44,0,44,0,0
Robert Woods\WoodRo02,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,70,2,52,0,0
Sammy Watkins\WatkSa00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,67,1,67,0,0
Cooper Kupp\KuppCo00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,54,0,35,0,0
Pharoh Cooper\CoopPh00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Tyler Higbee\HigbTy00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,1,8,0,0
Derek Carrier\CarrDe00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Josh Reynolds\ReynJo00,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sean Mannion\MannSe00,LAR,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
Eli Manning\MannEl00,NYG,20,36,220,2,1,2,12,37,80.8,0,0,0,0,0,0,0,0,0,1,1
Geno Smith\SmitGe00,NYG,0,2,0,0,0,0,0,0,39.6,1,-1,0,-1,0,0,0,0,0,0,0
Orleans Darkwa\DarkOr00,NYG,0,0,0,0,0,0,0,0,,16,71,0,24,2,2,8,0,4,0,0
Wayne Gallman\GallWa00,NYG,0,0,0,0,0,0,0,0,,9,41,0,14,1,0,0,0,0,1,1
Sterling Shepard\ShepSt00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,70,0,37,0,0
Evan Engram\EngrEv00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,70,1,26,0,0
Tavarres King\KingTa00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,33,1,14,0,0
Rhett Ellison\ElliRh00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,14,0,0
Shane Vereen\VereSh00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,14,0,8,0,0
Roger Lewis\LewiRo03,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,0
Ed Eagan\EagaEd00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
